Job Title,Industry,Job Status,AI Impact Level,Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Median Salary (USD)
Video editor,Retail,Increasing,Moderate,High School,18,5012,666,40.85,87.65,Brazil,68.42,103955.14
Transport planner,Finance,Increasing,Low,High School,13,6191,9186,58.02,73.58,Canada,74.45,116126.3
Set designer,Entertainment,Increasing,High,PhD,4,1447,9552,75.32,73.11,China,69.12,66593.55
Neurosurgeon,Manufacturing,Decreasing,Moderate,Bachelor’s Degree,12,2038,6334,75.39,78.58,India,37.54,48757.85
Dance movement psychotherapist,IT,Decreasing,Low,PhD,12,1853,4844,88.7,86.54,India,21.83,48594.07
"Teacher, adult education",Retail,Decreasing,Moderate,Associate Degree,14,6071,8340,12.5,31.26,Brazil,32.18,109451.97
Engineering geologist,Entertainment,Increasing,Moderate,High School,15,7656,2985,98.67,92.04,Germany,74.61,137741.87
Education administrator,Entertainment,Increasing,High,Bachelor’s Degree,12,3618,4290,0.45,53.97,Canada,54.69,138143.21
Geoscientist,Education,Decreasing,Low,High School,6,5408,7408,18.05,45.98,Germany,40.46,63877.34
Landscape architect,IT,Increasing,High,Master’s Degree,19,5047,2748,35.79,79.88,China,51.41,58151.75
Orthoptist,Retail,Decreasing,Low,Master’s Degree,6,4559,2180,47.08,31.57,India,38.28,83116.06
Public affairs consultant,Education,Increasing,Low,PhD,14,7730,5383,76.24,28.16,Canada,67.74,74098.76
Magazine journalist,Transportation,Increasing,Low,Master’s Degree,15,500,7466,64.77,47.23,Brazil,34.28,36260.45
Patent attorney,IT,Increasing,Low,Associate Degree,10,8398,6254,51.07,39.84,China,73.13,50827.14
"Therapist, drama",Education,Increasing,High,Bachelor’s Degree,19,2766,6049,7.29,38.04,Brazil,74.63,52710.63
Retail banker,Healthcare,Decreasing,High,High School,15,4519,9361,11.35,48.45,India,79.28,40427.46
Paediatric nurse,Healthcare,Decreasing,Moderate,High School,6,7730,7288,14.84,23.82,India,33.11,67222.18
Proofreader,Healthcare,Increasing,Low,PhD,13,374,8368,89.21,65.08,China,78.41,112107.11
Lawyer,Retail,Decreasing,High,Associate Degree,1,9917,3640,81.54,80.26,Germany,32.78,67401.89
English as a foreign language teacher,Entertainment,Increasing,Low,PhD,0,8463,7660,27.61,61.27,Canada,64.41,138899.29
"Engineer, maintenance (IT)",Entertainment,Decreasing,Low,Bachelor’s Degree,15,2608,8026,12.92,81.56,USA,79.28,100357.04
"Scientist, forensic",Healthcare,Increasing,Moderate,Associate Degree,18,8066,1709,65.73,86.23,Australia,63.78,116454.9
Meteorologist,Manufacturing,Decreasing,Low,Bachelor’s Degree,18,3591,6007,78.67,40.53,USA,28.8,104547.66
Quantity surveyor,Manufacturing,Decreasing,Low,Bachelor’s Degree,1,574,2012,51.47,89.44,India,45.64,128069.05
Travel agency manager,Entertainment,Decreasing,High,Associate Degree,19,2607,6421,33.36,71.44,Australia,59.25,108910.63
Community pharmacist,Finance,Increasing,Moderate,PhD,1,6613,7455,93.56,12.53,Canada,42.71,98002.17
Dancer,Retail,Increasing,Low,Bachelor’s Degree,5,7572,8662,86.8,53.11,China,76.4,145068.91
Maintenance engineer,Education,Decreasing,Low,PhD,16,6816,6098,50.31,4.16,Australia,28.48,55642.59
Forensic psychologist,Education,Increasing,Moderate,Associate Degree,3,8293,3788,89.87,93.09,Germany,21.27,115864.63
Environmental health practitioner,Retail,Decreasing,Moderate,Bachelor’s Degree,5,4025,4539,44.82,21.37,India,71.33,137470.92
Patent attorney,Retail,Increasing,Low,High School,1,5859,1611,55.16,85.69,Brazil,56.12,103653.18
Set designer,Transportation,Decreasing,Moderate,Master’s Degree,16,5699,686,53.15,85.36,UK,69.51,70440.16
"Presenter, broadcasting",Finance,Increasing,Moderate,High School,14,1924,5181,33.57,79.48,USA,57.75,102297.35
Armed forces operational officer,Healthcare,Decreasing,High,Bachelor’s Degree,4,9610,9753,66.86,6.85,UK,44.8,135588.99
Emergency planning/management officer,Entertainment,Decreasing,Low,PhD,0,7081,8311,28.61,65.84,Canada,49.59,103692.88
"Engineer, manufacturing",Entertainment,Decreasing,High,PhD,3,4849,3571,86.93,95.17,China,35.13,113827.09
Sports development officer,Retail,Increasing,High,Associate Degree,9,3708,4946,16.77,92.46,India,72.67,53657.68
Environmental health practitioner,Finance,Increasing,Low,Associate Degree,20,2698,5890,49.53,4.79,Germany,32.34,70507.96
Operations geologist,Education,Increasing,High,Master’s Degree,6,9689,7845,86.08,43.51,UK,60.03,96553.68
Glass blower/designer,Manufacturing,Increasing,Low,High School,11,7014,1240,73.94,89.26,Brazil,40.01,96164.13
Nutritional therapist,Entertainment,Increasing,Low,High School,20,4769,705,38.34,65.69,USA,44.76,112289.13
Psychiatric nurse,Retail,Decreasing,Low,Associate Degree,2,8728,5877,13.52,54.74,Australia,34.1,130226.89
Administrator,Entertainment,Increasing,Low,High School,3,4817,111,23.5,19.56,Australia,51.73,72977.13
"Editor, commissioning",Transportation,Decreasing,Moderate,Master’s Degree,0,7408,7801,84.67,82.9,Brazil,35.31,52818.64
"Engineer, site",Transportation,Decreasing,High,Associate Degree,7,4723,1000,93.19,94.68,Canada,20.28,145874.97
Special educational needs teacher,Manufacturing,Decreasing,Low,High School,18,4759,8161,50.63,28.45,Brazil,68.59,70432.75
Horticultural therapist,Education,Decreasing,Low,Associate Degree,12,1974,7040,88.29,63.07,Canada,23.6,121994.77
IT consultant,Manufacturing,Increasing,High,Associate Degree,13,4640,4954,89.82,90.9,Germany,74.04,105728.01
Veterinary surgeon,Education,Increasing,High,PhD,13,7504,7374,40.73,57.9,India,24.73,31824.39
Chief Financial Officer,Finance,Increasing,High,PhD,15,7822,6526,17.97,55.57,India,37.07,119786.27
Futures trader,Education,Increasing,Moderate,Associate Degree,3,9232,9449,54.31,73.48,Canada,41.12,146708.07
"Engineer, manufacturing",Manufacturing,Decreasing,High,High School,15,7715,2803,22.37,94.33,Germany,35.82,142176.66
"Surveyor, mining",Transportation,Decreasing,Low,Bachelor’s Degree,13,3999,4717,70.09,92.35,Germany,23.18,30307.62
Chief Financial Officer,Retail,Increasing,Low,High School,6,5614,7470,90.01,97.91,USA,50.79,35958.85
Occupational psychologist,Retail,Decreasing,Moderate,Bachelor’s Degree,5,1374,7428,22.69,37.77,Brazil,62.83,74679.04
"Pharmacist, community",Education,Increasing,Low,Master’s Degree,20,8042,2336,39.91,22.06,USA,38.97,147076.46
Chartered legal executive (England and Wales),Education,Decreasing,High,Bachelor’s Degree,2,5342,8053,30.45,36.62,China,39.04,63025.91
"Biochemist, clinical",Manufacturing,Increasing,High,PhD,8,4197,5932,21.32,19.19,Australia,46.8,148023.18
Sports therapist,Manufacturing,Increasing,Low,Bachelor’s Degree,0,6477,3179,91.35,6.89,Australia,55.16,65823.12
"Engineer, land",IT,Decreasing,Moderate,Associate Degree,6,9786,7601,80.92,27.61,Canada,35.03,109168.92
Animal nutritionist,Entertainment,Increasing,High,PhD,16,8049,8767,19.87,9.13,USA,48.34,63796.63
Tour manager,Healthcare,Decreasing,Moderate,Master’s Degree,3,7516,937,2.49,60.96,USA,40.64,67589.96
Electronics engineer,Entertainment,Increasing,Moderate,High School,3,1540,9625,44.33,14.99,Australia,55.25,126720.11
"Programmer, applications",IT,Increasing,Low,Associate Degree,3,9259,7828,0.77,57.9,UK,37.87,125147.92
Town planner,Manufacturing,Increasing,Moderate,Bachelor’s Degree,15,9988,9010,37.12,11.53,China,36.8,30746.11
Chief Marketing Officer,Retail,Decreasing,Moderate,Associate Degree,3,6878,9531,45.73,31.52,Germany,70.09,38338.16
"Scientist, clinical (histocompatibility and immunogenetics)",Finance,Decreasing,Moderate,Bachelor’s Degree,14,6077,5913,48.81,26.13,China,23.21,140983.27
Contracting civil engineer,Healthcare,Increasing,Low,PhD,5,3940,1077,55.46,59.41,USA,70.61,98418.61
Recycling officer,Healthcare,Increasing,Low,Master’s Degree,6,6258,5528,55.64,76.35,UK,20.68,65468.88
Agricultural consultant,Manufacturing,Increasing,Low,Master’s Degree,18,4920,8469,81.35,34.84,India,20.41,85706.89
"Engineer, water",Transportation,Increasing,Moderate,Associate Degree,17,9456,2695,36.92,56.45,Canada,60.02,90716.18
Social researcher,Finance,Decreasing,High,Master’s Degree,4,3866,4145,89.12,98.27,Canada,79.02,123734.62
Geophysicist/field seismologist,Healthcare,Increasing,Low,PhD,4,2913,1642,66.82,78.38,Brazil,59.91,67094.69
Ergonomist,Finance,Decreasing,Moderate,PhD,15,6631,1648,70.31,62.81,Germany,23.37,82333.36
Heritage manager,Entertainment,Decreasing,High,PhD,8,9237,3764,70.15,38.13,Canada,23.52,79404.25
Contracting civil engineer,Entertainment,Increasing,High,Bachelor’s Degree,6,4449,9047,25.75,55.77,USA,34.71,136182.37
Land,Manufacturing,Increasing,Low,PhD,12,769,2398,24.45,80.17,Brazil,50.38,114765.03
Commercial art gallery manager,Manufacturing,Increasing,Moderate,Bachelor’s Degree,19,8616,5292,88.52,28.75,Australia,56.24,115863.31
Surgeon,Retail,Decreasing,Low,Associate Degree,5,2420,8963,31.56,79.74,Brazil,34.6,44977.32
"Surveyor, planning and development",Finance,Increasing,Moderate,High School,14,163,7028,59.64,27.27,India,50.07,63329.32
Occupational psychologist,Retail,Increasing,Low,Bachelor’s Degree,5,9369,2884,48.1,86.58,Australia,21.86,127489.8
Management consultant,Transportation,Increasing,Moderate,Bachelor’s Degree,12,8533,6722,99.39,65.67,India,24.12,59837.19
Immigration officer,Manufacturing,Decreasing,High,High School,17,1287,9162,62.61,98.3,China,41.24,86826.89
"Engineer, manufacturing systems",Retail,Decreasing,Low,Bachelor’s Degree,7,4520,9521,36.3,96.1,India,20.98,116442.56
Oncologist,Entertainment,Decreasing,Moderate,PhD,16,305,380,72.55,30.1,USA,58.93,131486.77
Horticultural consultant,Education,Decreasing,Low,PhD,14,3215,2205,68.52,96.08,USA,77.54,120615.45
Special educational needs teacher,IT,Decreasing,Low,Master’s Degree,14,4147,6255,48.94,70.66,Australia,22.49,114890.48
"Doctor, general practice",Retail,Increasing,High,High School,4,2599,8141,21.46,71.71,Germany,30.54,83689.16
"Designer, jewellery",Entertainment,Decreasing,Moderate,Master’s Degree,10,7347,5755,86.81,98.96,China,57.09,127246.09
Clinical cytogeneticist,Transportation,Increasing,High,PhD,15,3126,4664,9.0,28.95,Australia,55.14,54632.82
"Lighting technician, broadcasting/film/video",Healthcare,Increasing,High,Bachelor’s Degree,10,5485,7402,7.07,16.31,USA,79.09,105690.17
Animator,Finance,Increasing,Low,Master’s Degree,7,9468,1197,73.55,12.79,UK,33.48,56683.32
"Engineer, mining",Retail,Decreasing,High,High School,6,2163,973,69.19,16.19,China,75.84,106250.86
Warden/ranger,Manufacturing,Increasing,Moderate,Associate Degree,16,4804,2430,74.43,86.2,Germany,44.54,74921.8
Cytogeneticist,Finance,Increasing,Moderate,PhD,3,7789,3060,18.84,43.89,Canada,64.15,81812.23
"Conservator, furniture",Entertainment,Increasing,Low,Bachelor’s Degree,2,3232,7846,58.65,14.55,Brazil,32.76,124336.92
Broadcast presenter,Transportation,Increasing,Low,Bachelor’s Degree,20,1161,9339,15.95,52.57,Canada,24.9,94884.04
Hospital doctor,Manufacturing,Increasing,High,Master’s Degree,11,8889,1309,85.99,86.39,India,41.18,113600.34
Mental health nurse,Finance,Decreasing,High,PhD,20,1625,9691,35.94,51.75,China,78.09,77742.67
Air traffic controller,Finance,Increasing,Moderate,Bachelor’s Degree,12,8258,8011,39.44,98.84,Canada,30.36,85885.72
"Engineer, mining",Transportation,Increasing,High,Master’s Degree,16,2227,3733,12.0,29.96,Brazil,74.0,43754.24
Fisheries officer,Retail,Decreasing,Moderate,High School,20,7441,4265,55.53,90.71,India,47.02,30506.42
"Geologist, wellsite",Healthcare,Decreasing,Low,Master’s Degree,3,9953,9642,14.78,75.19,India,33.14,142410.1
"Secretary, company",Healthcare,Decreasing,High,PhD,0,6422,3684,5.76,17.35,India,57.21,54826.07
Wellsite geologist,Education,Decreasing,Low,Associate Degree,0,5083,7520,43.89,51.13,Canada,51.53,62278.88
"Designer, industrial/product",Finance,Increasing,High,Master’s Degree,14,5326,7504,16.51,65.49,USA,67.68,47517.48
Occupational hygienist,Transportation,Decreasing,Moderate,Bachelor’s Degree,19,5961,6680,61.64,13.8,Germany,66.32,50896.74
Broadcast engineer,Education,Increasing,Moderate,Bachelor’s Degree,9,6143,9119,4.32,63.43,Germany,32.96,45257.43
Lobbyist,Transportation,Increasing,Moderate,High School,19,3861,4488,87.55,65.85,Australia,49.16,134279.66
Museum/gallery conservator,Entertainment,Increasing,Low,Associate Degree,14,774,5105,98.67,53.04,Germany,74.2,114772.71
Computer games developer,IT,Increasing,Moderate,PhD,13,2595,4885,19.09,6.56,Germany,36.47,98757.42
"Designer, textile",Manufacturing,Decreasing,High,Bachelor’s Degree,6,6918,5486,92.98,44.36,UK,78.85,52870.11
Professor Emeritus,Manufacturing,Increasing,Low,PhD,16,8208,3879,86.5,53.23,Australia,41.01,144648.24
Homeopath,Entertainment,Increasing,Moderate,PhD,5,6954,3681,22.83,50.07,USA,24.85,94496.25
Electronics engineer,IT,Decreasing,Moderate,PhD,4,9498,7563,60.99,11.2,Germany,76.11,79996.86
Civil Service fast streamer,Entertainment,Decreasing,High,Associate Degree,10,3342,9263,31.82,6.33,USA,64.54,84547.72
Broadcast journalist,Transportation,Increasing,High,Master’s Degree,19,1484,4282,41.37,37.73,Canada,48.43,30203.34
"Scientist, physiological",Healthcare,Increasing,Moderate,Master’s Degree,19,5019,8932,83.52,7.73,Australia,72.62,119417.68
Pharmacologist,Retail,Decreasing,High,PhD,11,2909,3479,96.59,44.67,India,38.24,86030.71
Magazine journalist,Finance,Decreasing,Low,Master’s Degree,8,6875,7127,84.81,50.45,UK,53.23,109445.74
Commercial/residential surveyor,Retail,Increasing,Low,Associate Degree,13,2811,7028,63.58,61.73,UK,34.77,111882.32
"Engineer, mining",Healthcare,Decreasing,Moderate,Bachelor’s Degree,12,4834,9583,12.18,34.85,Brazil,68.74,30228.08
Materials engineer,Education,Increasing,High,PhD,7,2553,3655,41.3,96.84,USA,72.45,67517.69
Environmental consultant,Education,Increasing,Moderate,Associate Degree,19,6497,7254,95.17,96.58,Canada,41.92,83388.89
Chiropodist,Retail,Increasing,Low,High School,5,2667,1438,34.08,65.15,India,56.94,90116.03
Call centre manager,Manufacturing,Increasing,High,Associate Degree,7,2678,3361,46.01,11.21,Canada,72.79,86854.9
"Engineer, control and instrumentation",Entertainment,Increasing,Low,High School,4,2508,7641,35.94,74.76,Brazil,67.52,40797.63
Archivist,Manufacturing,Decreasing,Moderate,High School,7,9747,2046,77.21,44.19,India,64.1,70652.41
Radio broadcast assistant,Healthcare,Decreasing,Low,Master’s Degree,6,5714,2375,58.33,0.85,India,71.31,87384.35
Mental health nurse,Healthcare,Increasing,Low,High School,2,1498,5181,22.94,4.63,Australia,77.05,148818.67
Air traffic controller,Retail,Decreasing,Moderate,High School,1,2863,9345,43.27,78.14,UK,46.04,47020.19
Dancer,Entertainment,Decreasing,Moderate,Bachelor’s Degree,11,7527,3691,90.03,17.52,UK,25.27,139380.9
Pathologist,Manufacturing,Increasing,Low,Bachelor’s Degree,1,7462,8306,60.57,34.7,Brazil,70.52,121008.37
"Surveyor, rural practice",Finance,Increasing,Low,Bachelor’s Degree,13,898,6088,63.26,2.96,UK,43.14,94472.98
Building services engineer,Education,Decreasing,Moderate,High School,12,5580,8297,64.73,26.86,India,43.64,90013.2
Newspaper journalist,Manufacturing,Decreasing,Low,High School,15,485,8982,97.95,35.99,UK,71.63,35696.99
"Therapist, speech and language",Finance,Increasing,Low,Bachelor’s Degree,8,8417,3970,26.79,98.05,USA,72.09,51409.47
Careers information officer,Finance,Decreasing,Moderate,Master’s Degree,19,8059,6090,32.59,68.08,Brazil,64.38,114831.78
Professor Emeritus,Retail,Increasing,Low,High School,1,5252,4506,65.51,77.19,UK,53.23,104667.47
"Surveyor, insurance",Transportation,Decreasing,High,High School,10,1830,3163,85.19,5.14,Canada,35.89,129413.35
Accounting technician,Education,Increasing,Low,High School,11,7018,3177,57.71,51.81,China,54.16,120149.66
Economist,Manufacturing,Decreasing,High,High School,6,5011,4719,33.74,81.18,Germany,21.86,147444.41
"Horticulturist, commercial",Finance,Decreasing,Low,High School,3,6629,5481,94.51,21.62,Brazil,65.9,85426.52
"Engineer, technical sales",Retail,Increasing,High,Master’s Degree,6,895,8647,34.85,22.82,USA,73.79,137176.83
"Scientist, product/process development",Transportation,Increasing,High,Master’s Degree,12,6783,4767,70.45,74.11,UK,30.03,143315.6
"Programme researcher, broadcasting/film/video",Finance,Decreasing,Moderate,Bachelor’s Degree,20,9515,7912,36.96,62.68,USA,67.93,46896.84
Armed forces technical officer,Transportation,Decreasing,High,Bachelor’s Degree,13,6002,555,71.22,10.45,USA,62.63,38139.24
Horticultural consultant,Transportation,Increasing,Moderate,Bachelor’s Degree,9,5279,8169,88.21,74.39,India,61.39,106138.28
Bonds trader,Manufacturing,Decreasing,Moderate,High School,12,2182,5662,24.92,24.49,China,39.33,72480.77
"Engineer, technical sales",IT,Increasing,High,Associate Degree,20,9599,1447,40.37,6.12,Canada,65.67,137794.62
Housing manager/officer,IT,Decreasing,Moderate,Associate Degree,3,6154,8451,96.74,23.15,Germany,73.73,142051.44
Fast food restaurant manager,Transportation,Decreasing,Low,Master’s Degree,10,7574,6385,42.52,36.85,Brazil,38.86,101062.81
Solicitor,Transportation,Decreasing,High,Associate Degree,20,1869,9046,22.86,43.83,Canada,70.98,59840.08
Hydrologist,Transportation,Decreasing,High,Master’s Degree,12,4724,9307,93.57,95.79,Germany,72.44,111805.62
Health and safety adviser,Healthcare,Increasing,Low,Associate Degree,11,1208,3994,69.37,37.0,India,40.23,42344.04
Legal secretary,Healthcare,Increasing,High,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76,97576.13
"Teacher, secondary school",Entertainment,Decreasing,Moderate,Associate Degree,9,8618,5338,15.8,43.49,India,58.34,139633.92
"Therapist, nutritional",Healthcare,Decreasing,High,Bachelor’s Degree,9,940,3685,65.03,58.85,Brazil,57.52,82430.19
IT trainer,Education,Decreasing,Moderate,High School,6,8730,9642,10.39,79.9,UK,56.29,125898.83
Print production planner,IT,Decreasing,Moderate,Master’s Degree,18,3691,8515,66.29,96.28,Germany,76.97,72331.49
"Engineer, broadcasting (operations)",Entertainment,Decreasing,High,High School,12,903,8097,35.31,62.96,China,42.42,66664.53
Nutritional therapist,Manufacturing,Increasing,Moderate,Associate Degree,14,8003,8781,65.98,82.89,India,71.02,86710.56
"Programme researcher, broadcasting/film/video",Healthcare,Increasing,High,PhD,5,3425,4873,24.43,88.77,India,52.21,57451.0
Product manager,IT,Increasing,Moderate,Associate Degree,13,3197,4317,23.37,54.71,USA,39.17,103255.93
Passenger transport manager,Manufacturing,Decreasing,High,Master’s Degree,1,6930,2834,46.03,25.08,Australia,27.35,51304.72
"Designer, jewellery",Manufacturing,Increasing,Moderate,Bachelor’s Degree,2,8723,4161,34.7,85.1,Brazil,37.65,47597.96
Mudlogger,Healthcare,Increasing,High,Master’s Degree,1,8762,1523,17.68,90.63,Australia,70.69,124221.43
Dramatherapist,Manufacturing,Decreasing,Low,High School,9,9492,175,4.58,70.65,China,70.08,34183.27
"Psychotherapist, child",Entertainment,Decreasing,Moderate,High School,6,1253,2765,60.86,57.16,Brazil,34.35,56969.38
"Buyer, retail",Education,Increasing,Low,PhD,15,7430,9679,59.5,58.67,UK,56.01,45094.52
Academic librarian,Transportation,Decreasing,Low,Associate Degree,9,7374,8463,62.05,7.57,Australia,69.19,74376.06
Management consultant,Manufacturing,Decreasing,High,Associate Degree,0,6485,9024,9.87,66.91,Brazil,78.9,91608.75
Mining engineer,Manufacturing,Increasing,Low,Bachelor’s Degree,10,6926,1919,80.91,23.59,China,74.78,57794.48
Mental health nurse,Manufacturing,Decreasing,High,High School,7,5068,4673,15.46,2.06,Australia,47.56,30110.44
Food technologist,Healthcare,Increasing,High,High School,14,5341,1613,90.47,90.99,Australia,70.85,35702.88
Diagnostic radiographer,IT,Decreasing,Moderate,Associate Degree,4,3693,4322,34.16,14.94,India,27.11,111105.01
"Engineer, drilling",Healthcare,Decreasing,High,PhD,1,7909,4612,24.66,0.57,Canada,44.72,92254.44
Financial planner,Manufacturing,Increasing,High,High School,18,3645,797,44.48,15.27,Germany,31.52,120785.23
"Scientist, audiological",IT,Increasing,Moderate,PhD,11,3233,4595,74.48,95.8,India,34.56,86847.26
Higher education careers adviser,Retail,Decreasing,High,Associate Degree,20,2904,8297,74.74,78.11,China,49.01,136240.8
"Engineer, control and instrumentation",Transportation,Increasing,High,Associate Degree,4,2750,3603,23.21,27.29,USA,48.81,112135.11
Archivist,Manufacturing,Decreasing,Moderate,High School,6,7973,6457,74.19,76.53,USA,45.1,61573.08
"Administrator, local government",IT,Increasing,Moderate,Bachelor’s Degree,1,773,7023,95.68,88.6,Brazil,60.72,122758.81
Public house manager,Finance,Increasing,Low,Associate Degree,14,1841,4396,34.0,45.96,China,31.71,122828.29
"Restaurant manager, fast food",Finance,Decreasing,Moderate,High School,20,2488,5687,77.33,82.94,India,49.34,33826.23
Homeopath,Education,Decreasing,Moderate,High School,5,2465,4286,10.54,95.95,Australia,41.64,92736.44
Dancer,IT,Increasing,Moderate,Associate Degree,15,6840,5948,92.9,58.7,UK,20.76,138930.49
